Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Api\NBB.Contracts.Api.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Api\Startup.cs,86,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"if (Configuration.GetValue<bool>(""OpenTelemetry:MetricsEnabled""))              {                  services.AddOpenTelemetry().WithMetrics(options =>                  {                      options.ConfigureResource(configureResource)                          .AddRuntimeInstrumentation()                          .AddHttpClientInstrumentation()                          .AddAspNetCoreInstrumentation()                          .AddPrometheusExporter();                  });              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Api\NBB.Contracts.Api.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Api\Startup.cs,83,16,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"services.Configure<OtlpExporterOptions>(Configuration.GetSection(""OpenTelemetry:Otlp""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Api\NBB.Contracts.Api.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Api\Startup.cs,70,12,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"if (Configuration.GetValue<bool>(""OpenTelemetry:TracingEnabled""))              {                  Sdk.SetDefaultTextMapPropagator(new JaegerPropagator());                    services.AddOpenTelemetry().WithTracing(builder => builder                          .ConfigureResource(configureResource)                          .SetSampler(new AlwaysOnSampler())                          .AddMessageBusInstrumentation()                          .AddHttpClientInstrumentation()                          .AddAspNetCoreInstrumentation()                          .AddEntityFrameworkCoreInstrumentation(options => options.SetDbStatementForText = true)                          .AddOtlpExporter()                  );                  services.Configure<OtlpExporterOptions>(Configuration.GetSection(""OpenTelemetry:Otlp""));              }"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Application\NBB.Contracts.Application.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Application\NBB.Contracts.Application.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Domain\NBB.Contracts.Domain.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Domain\NBB.Contracts.Domain.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Migrations\NBB.Contracts.Migrations.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Migrations\NBB.Contracts.Migrations.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.0,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Migrations\NBB.Contracts.Migrations.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Migrations\NBB.Contracts.Migrations.csproj,,,Microsoft.Extensions.Configuration.Json 9.0.0,,,,,"Microsoft.Extensions.Configuration.Json, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Migrations\NBB.Contracts.Migrations.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Migrations\NBB.Contracts.Migrations.csproj,,,Microsoft.Extensions.Configuration.UserSecrets 9.0.0,,,,,"Microsoft.Extensions.Configuration.UserSecrets, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.UserSecrets, and replace with new package Microsoft.Extensions.Configuration.UserSecrets 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Migrations\NBB.Contracts.Migrations.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Migrations\NBB.Contracts.Migrations.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.PublishedLanguage\NBB.Contracts.PublishedLanguage.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.PublishedLanguage\NBB.Contracts.PublishedLanguage.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
